id,ru,en
base1,ShiftRy: диахронические семантические модели русских новостей,ShiftRy: diachronic semantic models of Russian news
base2,Показать/скрыть меню,Toggle Navigation
base3,ShiftRy,ShiftRy
base4,О&nbsp;проекте,About
base5,Исходный код ShiftRy,ShiftRy source code
base6,Похожие слова,Similar words
base7,Модели,Models
base9,Публикации,Publications
base10,Контакты,Contacts
base12,Лицензия Creative Commons,Creative Commons License
base13,Синхронические визуализации,Synchronic visualizations
base14,Университет Осло, University of Oslo
base15,Национальный Исследовательский Университет Высшая Школа Экономики,National Research University Higher School of Economics
base16,Switch language,Сменить язык
base17,Различные операции,Miscellaneous
base18,"Слова, выделенные <span style='color: green;'>зеленым</span>, являются высокочастотными (доля в корпусе выше 0.00001); слова, выделенные <span style='color: red;'>красным</span>, являются низкочастотными (доля в корпусе ниже 0.0000005).","Words in <span style='color: green;'>green</span> are top frequent (corpus ratio higher than 0.00001); words in <span style='color: red;'>red</span>, are low frequent (corpus ratio less than 0.0000005)."
base19,"Показаны только ассоциаты той же части речи, что и слово в запросе. Изменить этот фильтр можно на вкладке <a href=""associates/"">Похожие слова</a>.","We show only the associates of the same part of speech as your query. All associates can be found at the <a href=""associates/"">Similar Words</a> tab."
base20,Списки сдвигов,Shift lists
base21,Классификатор сдвигов,Shift classifier
calc1,Семантический калькулятор,Semantic Calculator
calc2,Алгебраические операции,Algebraic operations
calc13,computer linguistics,computer linguistics
calc21,"Вы&nbsp;можете приписать к&nbsp;слову знак подчеркивания &laquo;_&raquo; и&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."">тэг части речи</a> (<i>&laquo;tea_NOUN&raquo;</i>). В&nbsp;ином случае <i>WebVectors</i> определит часть речи самостоятельно.","You can optionally end the words with an&nbsp;underscore and a&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."">PoS tag</a> (<i>&laquo;tea_NOUN&raquo;</i>). Otherwise, <i>WebVectors</i> will analyze words on&nbsp;its own."
description1,Эволюция семантики слов в текстах русских новостей,Word usage evolution in Russian news
home1,ShiftRy: семантические сдвиги в русских новостях,ShiftRy: semantic shifts in Russian news
